id	sentences
85713	['a city street filled with lots of traffic .', 'a city street filled with lots of traffic and tall buildings .', 'a city street filled with lots of tall buildings .']
85710	['an airplane flying over a city with a building in the background .', 'an airplane flying over a city with a clock tower .', 'a view of a city skyline from a plane .']
80949	['a close up of a fire hydrant with a hose', 'a person is holding a pair of scissors', 'a person holding a black and white cat', 'a fire hydrant is spraying water on the street .', 'a large jetliner flying through a cloudy sky', 'a man standing in front of an airplane flying in the sky .', 'a person is standing in the middle of the street .', 'a fire hydrant is spraying water on a street .', 'a large jetliner flying through a cloudy sky .', 'a person holding a black and white cat .', 'a picture of a person in a dark night sky .', 'a fire hydrant spraying water on a street .', 'a person is standing in the middle of a street .', 'a man standing in front of an airplane .', 'a person holding a pair of scissors in their hands .', 'a person is standing in the middle of a street', 'a picture of a person in the dark .', 'a large jetliner flying through a cloudy blue sky .', 'a person holding a pair of scissors in their hand .', 'a close up of a fire hydrant with chains on it', 'a person is holding a black and white cat', 'a man standing in front of an airplane flying in the air .', 'a close up of a fire hydrant with chains', 'a picture of a person in a dark night .']
70369	['a plane flying over a body of water', 'a plane flying over a large body of water .', 'a plane flying over a body of water .']
84622	['a view of a mountain range from a plane .', 'a view of a city skyline from the distance .', 'a kite flying in the sky over a city .', 'a kite flying in the sky above a city .', 'a view of a mountain range with a plane in the sky .', 'a view of a mountain range with a plane in the background .', 'a view of a city skyline from the sky .', 'a kite flying in the sky over a city', 'a view of a city skyline from a plane', 'a view of a city skyline from a plane .']
85718	['an airplane is flying in the sky with clouds in the background .', 'an airplane is flying in the sky with clouds .', 'a plane flying in the sky with a sky background']
90788	['a herd of sheep grazing on a lush green hillside .', 'a plane flying in the sky over a field', 'a large mountain range with mountains in the background', 'a large mountain range with mountains in the distance .', 'a plane flying in the sky over a field .', 'a plane flying in the sky over a mountain .', 'a herd of sheep grazing on a lush green field .', 'a large mountain range with mountains in the background .', 'a herd of animals grazing on a lush green field .']
88128	['a group of people flying kites in a field .', 'a group of people standing on top of a hill flying kites .', 'a plane flying high in the sky over a mountain .', 'a plane flying in the sky over a mountain', 'a group of people flying kites in a cloudy sky .', 'a plane flying in the sky over a mountain .']
83930	['a kite flying high in the sky with a sky background', 'a group of people flying kites in a field .', 'a kite flying in the sky over a field .', 'a group of people flying kites in a field', 'a kite flying in the sky over a city .', 'a kite flying high in the sky with clouds in the background', 'a polar bear is walking through the snow .', 'a polar bear is standing in the snow .', 'a white and blue plane flying in the sky .', 'a small airplane flying through a blue sky .', 'a plane flying in the sky over a building .', 'a polar bear is walking in the snow .', 'a group of people flying kites in a park .', 'a plane flying in the sky over a city .', 'a small airplane flying through a cloudy sky .', 'a kite flying in the sky with a sky background']
83931	['a herd of sheep grazing on a lush green hillside .', 'a black and white photo of a pair of scissors', 'a train traveling down tracks next to a lush green hillside .', 'a man is flying a kite in the air .', 'an airplane flying over a body of water .', 'a train traveling over a bridge over a river .', 'a black and white photo of a pair of scissors .', 'a plane flying over a large body of water .', 'a man is flying a kite in the sky', 'a train traveling down train tracks next to a forest .', 'a plane flying over a body of water', 'a train traveling down tracks next to a river .', 'a black and white photo of a person holding a pair of scissors .', 'a herd of sheep grazing on a lush green field .', 'a train traveling over a bridge over water .', 'a man is flying a kite in the sky .', 'a train traveling down tracks next to a forest .', 'a herd of sheep standing on top of a lush green field .']
83933	['a group of airplanes flying in the sky .', 'a plane is flying in the sky with clouds in the background .', 'a group of planes flying in the sky .', 'a small airplane flying over a sandy beach .', 'a small airplane flying through a blue sky .', 'a group of people standing on top of a sandy beach .', 'a group of planes flying in the sky', 'a plane is flying in the sky over a mountain .', 'a plane is flying in the sky over the clouds .', 'an airplane is flying in the sky over some trees .', 'a plane is flying in the sky with a sky background', 'an airplane is flying in the sky with clouds in the background .', 'an airplane is flying in the air with a sky background', 'a small airplane flying through a blue sky', 'a plane flying in the sky with a sky background', 'an airplane is flying in the sky over a mountain .', 'an airplane is flying in the sky over the clouds .', 'an airplane is flying in the sky with clouds .', 'a group of people on a beach flying kites .']
78855	['a small white bird is standing in the snow .', 'a traffic light suspended over a street at night .', 'a traffic light suspended over a street next to tall buildings .', 'a traffic light suspended over a city street .', 'a view of a city street from the side of a building .', 'a view of a city street from a car window .', 'a small white bird standing on top of a snow covered field .', 'a small white bird is standing in the snow', 'a view of a city street from a window .']
88710	['a group of people standing on top of a blue and white plane .', 'a pair of skis laying on top of a snow covered ground .', 'a pair of skis sitting on top of a snow covered slope .', 'a bunch of birds that are on a rock .', 'a bunch of birds that are sitting on a rock .', 'a bunch of birds that are in the snow .', 'a pair of skis sitting on top of a snow covered ground .', 'a black and white photo of a truck with a dog on it .', 'a group of people standing on top of a blue and white kite .', 'a black and white photo of a car and a truck .', 'a group of people standing in front of a large building .', 'a black and white photo of a car and a truck']
81408	['a large black bear standing on top of a lush green field .', 'a black and white photo of a cat on a bed .', 'a black and white photo of a cat on a couch', 'a large black bear standing on top of a lush green hillside .', 'a black and white photo of a cat on a bed', 'a large black bear walking across a lush green field .', 'a dark night sky with a lit lamp .', 'a dark night scene with a lit lamp and lights .', 'a dark night scene with a lit lamp .']
86156	['a view of a sunset from the sky .', 'a view of a city street from a plane .', 'a view of a city street from a car .', 'a person is flying a kite in the sky .', 'a view of a city street from a plane', 'a person flying a kite in the sky .', 'a plane flying over a mountain with a sky background', 'a group of people flying kites in the air .', 'a person is flying a kite in the air .', 'an airplane flying over a building with a sky background', 'a group of people flying kites in a park .', 'a person is flying a kite in the air', 'a view of a plane flying in the sky .', 'a group of people flying kites in the sky .', 'a view of a plane flying in the sky', 'a person flying a kite in the air .', 'an airplane flying over a city with a cloudy sky .', 'a view of a sunset from a plane .', 'a person flying a kite in the sky', 'an airplane flying over a building with a cloudy sky .', 'a view of a plane in the sky .', 'a view of a plane flying in the air .']
84918	['a herd of sheep grazing on a lush green hillside .', 'a herd of sheep grazing on a lush green field .', 'a herd of sheep grazing in a field .', 'a herd of sheep standing on top of a lush green field .']
83441	['a snow covered ski slope with lots of trees .', 'a snow covered street with a red traffic light .', 'a snow covered ski slope with lots of traffic lights .']
